"tournament_year","group_id","n"
1998,"Group A",4
1998,"Group B",4
1998,"Group C",4
1998,"Group D",4
1998,"Group E",4
1998,"Group F",4
1998,"Group G",4
1998,"Group H",4
2002,"Group A",4
2002,"Group B",4
2002,"Group C",4
2002,"Group D",4
2002,"Group E",4
2002,"Group F",4
2002,"Group G",4
2002,"Group H",4
2006,"Group A",4
2006,"Group B",4
2006,"Group C",4
2006,"Group D",4
2006,"Group E",4
2006,"Group F",4
2006,"Group G",4
2006,"Group H",4
2010,"Group A",4
2010,"Group B",4
2010,"Group C",4
2010,"Group D",4
2010,"Group E",4
2010,"Group F",4
2010,"Group G",4
2010,"Group H",4
2014,"Group A",4
2014,"Group B",4
2014,"Group C",4
2014,"Group D",4
2014,"Group E",4
2014,"Group F",4
2014,"Group G",4
2014,"Group H",4
2018,"Group A",4
2018,"Group B",4
2018,"Group C",4
2018,"Group D",4
2018,"Group E",4
2018,"Group F",4
2018,"Group G",4
2018,"Group H",4
2022,"Group A",4
2022,"Group B",4
2022,"Group C",4
2022,"Group D",4
2022,"Group E",4
2022,"Group F",4
2022,"Group G",4
2022,"Group H",4
