"variable","spearman_rho","p_value"
"elo_gap_vs_opp_mean",0.48852702445538,7.73963113792784e-15
"team_elo_pre",0.460915454433456,3.50781694275796e-13
"recent_goal_diff_per_match",0.329517201734883,4.51620805951142e-07
"opp_elo_mean",-0.311856084111472,1.93038678738064e-06
"recent_goals_for_per_match",0.291709154306249,9.06342855532686e-06
"recent_win_rate",0.278229239384075,2.39395103219558e-05
"log_gdp_per_capita_pre",0.247852665901498,0.000178673183414806
"opp_elo_max",-0.218189865190443,0.00101264412940271
"recent_goals_against_per_match",-0.207688168430816,0.00177715367527325
"group_elo_std",0,1
"host_team_flag",NA,NA
