"","team_elo_pre","recent_win_rate","recent_goal_diff_per_match","recent_goals_for_per_match","recent_goals_against_per_match","opp_elo_mean","opp_elo_max","group_elo_std","elo_gap_vs_opp_mean","host_team_flag","log_gdp_per_capita_pre"
"team_elo_pre",1,0.534301134216741,0.647704247907065,0.595610003898923,-0.400490626276297,-0.365721619421171,-0.321989019489887,-0.00205030291907263,0.937078721309827,-0.0195317157322497,0.421641781122375
"recent_win_rate",0.534301134216741,1,0.841268678079001,0.699693048625441,-0.632140108724707,-0.209245601068556,-0.197772098962288,0.0333329171479946,0.50032585499933,-0.0457805764194437,0.169433490524319
"recent_goal_diff_per_match",0.647704247907065,0.841268678079001,1,0.877763690096575,-0.666466472706701,-0.233545643072867,-0.244008914746502,-0.0114355299817695,0.602184586761045,-0.0197375781714473,0.224443355109763
"recent_goals_for_per_match",0.595610003898923,0.699693048625441,0.877763690096575,1,-0.273102195343165,-0.213019829622984,-0.21610849359014,-0.00443595992530896,0.550855838613653,-0.00950523343272049,0.245157791836767
"recent_goals_against_per_match",-0.400490626276297,-0.632140108724707,-0.666466472706701,-0.273102195343165,1,0.133784201422389,0.147134978480205,-0.00436888937330492,-0.375297507963842,0.0119495387249611,-0.0724336160516066
"opp_elo_mean",-0.365721619421171,-0.209245601068556,-0.233545643072867,-0.213019829622984,0.133784201422389,1,0.763126763043431,0.0480581563330093,-0.65407695354676,-0.123328603182842,-0.137506262766465
"opp_elo_max",-0.321989019489887,-0.197772098962288,-0.244008914746502,-0.21610849359014,0.147134978480205,0.763126763043431,1,0.444040870486523,-0.529179533570516,-0.133944887364312,-0.0677473102685362
"group_elo_std",-0.00205030291907263,0.0333329171479946,-0.0114355299817695,-0.00443595992530896,-0.00436888937330492,0.0480581563330093,0.444040870486523,1,-0.0235889355537828,-0.00148833255493561,0.0445977647334301
"elo_gap_vs_opp_mean",0.937078721309827,0.50032585499933,0.602184586761045,0.550855838613653,-0.375297507963842,-0.65407695354676,-0.529179533570516,-0.0235889355537828,1,0.0357147941396051,0.383503070431694
"host_team_flag",-0.0195317157322497,-0.0457805764194437,-0.0197375781714473,-0.00950523343272049,0.0119495387249611,-0.123328603182842,-0.133944887364312,-0.00148833255493561,0.0357147941396051,1,0.0691971550594728
"log_gdp_per_capita_pre",0.421641781122375,0.169433490524319,0.224443355109763,0.245157791836767,-0.0724336160516066,-0.137506262766465,-0.0677473102685362,0.0445977647334301,0.383503070431694,0.0691971550594728,1
