"variable","n_missing","pct_missing"
"tournament_name",0,0
"tournament_year",0,0
"group_id",0,0
"team_name",0,0
"confederation",0,0
"qualified_from_group",0,0
"tournament_start_date",0,0
"team_elo_pre",0,0
"recent_window_n_matches",0,0
"recent_win_rate",0,0
"recent_goal_diff_per_match",0,0
"recent_goals_for_per_match",0,0
"recent_goals_against_per_match",0,0
"opp_elo_mean",0,0
"opp_elo_max",0,0
"group_elo_std",0,0
"elo_gap_vs_opp_mean",0,0
"host_team_flag",0,0
"gdp_per_capita_pre",0,0
"log_gdp_per_capita_pre",0,0
"Qualified_from_group",0,0
"Qualified_factor",0,0
